Loan_Status,Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens
Fully_Paid,211222,Short_Term,694,947625,4_years,Rent,Debt_Consolidation,8923.35,18,65,9,1,93081,397694,1,0
Fully_Paid,162360,Short_Term,720,486875,10+_years,Rent,Debt_Consolidation,8560.83,15.1,46,16,0,129504,434654,0,0
Fully_Paid,99999999,Short_Term,699,2770162,5_years,Home_Mortgage,Debt_Consolidation,48708.4,25.6,25,13,0,348802,449262,0,0
Fully_Paid,389884,Short_Term,657,4776125,1_year,Home_Mortgage,Debt_Consolidation,42985.22,21.5,4,14,1,237500,562386,1,0
Fully_Paid,433312,Short_Term,736,1010401,7_years,Home_Mortgage,Debt_Consolidation,22228.86,16.1,11,19,0,201780,613228,0,0
Fully_Paid,99999999,Short_Term,737,2015159,6_years,Home_Mortgage,Debt_Consolidation,21494.89,10.5,54,16,0,321214,478060,0,0
Fully_Paid,392282,Long_Term,688,974662,8_years,Home_Mortgage,Debt_Consolidation,10396.42,12,10,11,0,35663,242946,0,0
Fully_Paid,378334,Short_Term,714,2120514,2_years,Rent,Debt_Consolidation,35695.3,17,24,12,0,75335,413402,0,0
Fully_Paid,99999999,Short_Term,734,1355802,3_years,Rent,Debt_Consolidation,15365.68,44.5,31,8,0,25441,1841796,0,0
Not_Paid,194942,Short_Term,742,1212238,1_year,Rent,Debt_Consolidation,25254.99,27.4,19,13,1,176396,339834,1,0
Fully_Paid,731566,Short_Term,705,1377443,10+_years,Home_Mortgage,Debt_Consolidation,13429.96,20.4,65,18,0,563008,1070432,0,0
Fully_Paid,156772,Short_Term,748,1411966,6_years,Home_Mortgage,Home_Improvements,22591.38,18,73,10,0,38456,251548,0,0
Not_Paid,78738,Short_Term,6240,536370,2_years,Rent,Other,14034.92,10.5,15,14,0,138586,266112,0,0
Fully_Paid,453464,Short_Term,712,895147,3_years,Rent,Debt_Consolidation,17007.85,14.2,77,12,1,137845,222926,1,0
Fully_Paid,166672,Short_Term,705,1048667,10+_years,Home_Mortgage,Debt_Consolidation,16166.91,16,18,10,0,167656,267014,0,0
Not_Paid,119504,Short_Term,745,938315,2_years,Home_Mortgage,Buy_House,11807.17,13,9,11,0,32300,104170,0,0
Fully_Paid,33022,Short_Term,723,1673007,7_years,Rent,Debt_Consolidation,25234.47,23.3,80,13,0,125609,323928,0,0
Fully_Paid,280588,Short_Term,717,671080,3_years,Rent,Debt_Consolidation,17447.89,10,70,10,1,168169,470360,1,0
Not_Paid,556336,Long_Term,714,1402960,10+_years,Home_Mortgage,Debt_Consolidation,19524.4,19.5,38,5,0,317338,389246,0,0
Fully_Paid,541310,Short_Term,722,1682982,1_year,Home_Mortgage,Debt_Consolidation,52733.36,17.9,35,13,0,356288,619432,0,0
Not_Paid,765160,Long_Term,719,2643242,7_years,Home_Mortgage,Debt_Consolidation,34582.47,20.5,47,19,0,249755,489302,0,0
Fully_Paid,545886,Short_Term,718,1565182,7_years,Rent,Debt_Consolidation,41477,15,6,16,0,80465,296714,0,0
Fully_Paid,354046,Long_Term,676,1815469,10+_years,Home_Mortgage,Home_Improvements,5522.16,13,6,6,0,20976,70840,0,0
Not_Paid,86174,Short_Term,7210,837311,1_year,Home_Mortgage,Debt_Consolidation,10884.91,13.6,82,15,0,360867,671770,0,0
Not_Paid,509586,Long_Term,678,1816001,2_years,Rent,Debt_Consolidation,26180.67,13.9,74,32,1,115672,319638,1,0
Fully_Paid,99999999,Short_Term,709,1806083,10+_years,Home_Mortgage,Debt_Consolidation,29348.92,16.1,25,22,0,492556,724680,0,0
Fully_Paid,218988,Short_Term,740,775409,4_years,Home_Mortgage,Debt_Consolidation,8141.88,14.9,9,5,0,100206,186230,0,0
Not_Paid,663168,Long_Term,732,1527296,2_years,Home_Mortgage,Debt_Consolidation,22145.83,17,32,8,0,331075,543774,0,0
Fully_Paid,752290,Long_Term,649,2320375,3_years,Rent,Debt_Consolidation,39252.86,13.4,16,13,0,431053,513502,0,0
Fully_Paid,99999999,Short_Term,734,622991,6_years,Own_Home,Debt_Consolidation,8046.88,10.7,75,15,0,69179,238370,0,0
Not_Paid,552882,Long_Term,686,1262151,10+_years,Rent,Debt_Consolidation,23770.71,23.4,48,13,0,299706,694056,0,0
Not_Paid,402534,Short_Term,741,3090160,9_years,Rent,Debt_Consolidation,23639.8,19.6,6,15,0,691467,1332188,0,0
Not_Paid,232716,Short_Term,637,1049427,5_years,Rent,Home_Improvements,12942.99,9.5,61,20,0,226442,389026,0,0
Fully_Paid,286462,Long_Term,719,1380426,10+_years,Home_Mortgage,Debt_Consolidation,27378.62,15.7,75,10,0,177916,335522,0,0
Fully_Paid,223256,Short_Term,740,804916,7_years,Home_Mortgage,Debt_Consolidation,6774.64,34.4,7,13,0,308142,587818,0,0
Fully_Paid,537878,Short_Term,743,1296807,1_year,Home_Mortgage,Debt_Consolidation,24963.53,18.4,70,12,0,249223,515306,0,0
Fully_Paid,214786,Short_Term,723,883329,9_years,Home_Mortgage,Debt_Consolidation,11924.97,14.3,79,5,0,154755,193314,0,0
Fully_Paid,109538,Short_Term,697,567606,7_years,Home_Mortgage,Debt_Consolidation,5770.68,14.3,62,10,0,86716,151206,0,0
Fully_Paid,117986,Short_Term,694,1886890,5_years,Rent,Debt_Consolidation,3207.77,12,19,7,0,80408,351296,0,0
Fully_Paid,87846,Short_Term,736,625879,4_years,Own_Home,Debt_Consolidation,6988.96,50.1,56,16,0,96330,714978,0,0
Fully_Paid,190498,Short_Term,706,892164,1_year,Rent,Debt_Consolidation,8996.12,13.2,64,6,0,88160,117744,0,0
Fully_Paid,229086,Short_Term,715,787626,8_years,Rent,Debt_Consolidation,6543.79,23.9,36,7,1,71231,152460,1,0
Not_Paid,393558,Long_Term,678,2317392,2_years,Own_Home,Debt_Consolidation,22015.3,14.7,27,8,0,124184,145552,0,0
Fully_Paid,99999999,Short_Term,726,1153851,<_1_year,Rent,Debt_Consolidation,7125,13.5,39,7,0,165984,286440,0,0
Not_Paid,87912,Short_Term,7500,960184,10+_years,Rent,Debt_Consolidation,3432.73,43.3,42,9,0,86051,301026,0,0
Not_Paid,156178,Short_Term,716,1124040,3_years,Rent,Other,8617.64,12,33,9,5,6194,108790,0,0
Fully_Paid,605726,Short_Term,748,3609145,10+_years,Home_Mortgage,Debt_Consolidation,43610.7,23,59,10,0,378423,475772,0,0
Not_Paid,168300,Long_Term,7020,688522,2_years,Rent,Other,11762.14,17,30,9,0,128041,273042,0,0
Fully_Paid,174460,Short_Term,723,1318429,3_years,Own_Home,Other,10547.47,15,55,14,0,55176,443586,0,0
Fully_Paid,768394,Long_Term,651,1651252,2_years,Home_Mortgage,Debt_Consolidation,19264.67,29.2,30,6,0,421420,559592,0,0
Fully_Paid,314226,Long_Term,723,2638454,1_year,Home_Mortgage,Other,34959.43,18.2,54,10,0,662815,969034,0,0
Fully_Paid,716958,Short_Term,718,1934960,9_years,Home_Mortgage,Home_Improvements,31765.72,10,24,9,0,168815,228624,0,0
Not_Paid,547580,Short_Term,710,1125978,<_1_year,Rent,Debt_Consolidation,9758.4,13.8,58,6,0,435328,790064,0,0
Fully_Paid,175428,Short_Term,698,1136238,2_years,Rent,Buy_a_Car,2594.45,30.5,68,4,0,70832,96470,0,0
Fully_Paid,234806,Long_Term,689,866799,9_years,Home_Mortgage,Debt_Consolidation,3676.69,14.1,7,4,2,86051,167750,2,0
Not_Paid,25806,Short_Term,685,742976,8_years,Rent,Other,6377.16,7.1,35,5,0,8189,47432,0,0
Fully_Paid,333124,Short_Term,703,1300246,10+_years,Home_Mortgage,Debt_Consolidation,13110.76,14.6,22,10,0,173128,384032,0,0
Fully_Paid,99999999,Short_Term,736,1111367,1_year,Rent,Other,16577.88,13.5,77,8,0,378746,594242,0,0
Fully_Paid,476586,Short_Term,707,1403207,7_years,Rent,Debt_Consolidation,18241.52,13.4,11,6,0,91580,214654,0,0
Fully_Paid,261800,Short_Term,738,1488536,4_years,Rent,Debt_Consolidation,21087.72,16.5,45,8,0,178220,274780,0,0
Fully_Paid,377322,Short_Term,740,1288162,<_1_year,Rent,Debt_Consolidation,17068.08,36.3,16,8,0,358549,494824,0,0
Fully_Paid,486288,Long_Term,707,1654577,3_years,Home_Mortgage,Debt_Consolidation,22612.47,14.9,14,18,0,407835,821282,0,0
Fully_Paid,104368,Short_Term,691,853974,1_year,Rent,Debt_Consolidation,22559.08,20,32,10,1,116223,195580,1,0
Fully_Paid,205854,Short_Term,717,1898860,10+_years,Home_Mortgage,Debt_Consolidation,31647.73,22.3,15,6,0,195738,251284,0,0
Fully_Paid,111408,Short_Term,733,1154592,10+_years,Rent,Debt_Consolidation,18762.12,20.4,47,9,0,283936,465674,0,0
Fully_Paid,284152,Short_Term,700,1054519,10+_years,Home_Mortgage,Debt_Consolidation,15202.66,14,36,12,0,182780,366146,0,0
Fully_Paid,128832,Short_Term,719,1483520,10+_years,Rent,Debt_Consolidation,8381.85,30.9,38,4,0,36708,64372,0,0
Fully_Paid,152790,Short_Term,743,678661,10+_years,Rent,Debt_Consolidation,4450.94,14,8,5,1,119510,229086,0,0
Not_Paid,152966,Short_Term,7080,1334902,4_years,Home_Mortgage,Debt_Consolidation,10845.96,17.1,41,13,0,82593,302654,0,0
Not_Paid,83864,Short_Term,699,564414,<_1_year,Rent,Debt_Consolidation,11711.6,11.9,53,12,0,18639,107932,0,0
Fully_Paid,99999999,Short_Term,724,687420,4_years,Rent,Other,6530.49,11.1,49,4,0,18715,37620,0,0
Not_Paid,142846,Short_Term,750,654227,10+_years,Home_Mortgage,Debt_Consolidation,16246.71,17.2,16,9,0,53694,112662,0,0
Fully_Paid,504658,Short_Term,685,3874100,10+_years,Rent,Debt_Consolidation,4100.2,16,1,7,0,167827,397408,0,0
Fully_Paid,99999999,Short_Term,699,656849,3_years,Rent,Debt_Consolidation,3848.07,11.7,60,10,0,30552,198682,0,0
Fully_Paid,732028,Short_Term,737,1724193,10+_years,Home_Mortgage,Debt_Consolidation,32041.22,18.5,21,14,0,628425,1017698,0,0
Fully_Paid,77132,Short_Term,657,2093762,5_years,Rent,Medical_Bills,47284.16,15.9,81,13,0,588449,703142,0,0
Fully_Paid,128634,Short_Term,695,463657,4_years,Home_Mortgage,Other,9891.4,8.7,16,9,0,76133,134178,0,0
Fully_Paid,429264,Short_Term,735,1816571,8_years,Own_Home,Debt_Consolidation,34060.73,11.1,37,20,0,387353,1520398,0,0
Fully_Paid,653334,Short_Term,722,2068891,10+_years,Own_Home,Debt_Consolidation,29309.21,21.3,53,9,0,294291,548724,0,0
Not_Paid,218130,Short_Term,728,602832,5_years,Home_Mortgage,Debt_Consolidation,9142.8,17.6,26,10,0,202616,239888,0,0
Fully_Paid,541794,Long_Term,674,1538145,8_years,Home_Mortgage,Other,12766.67,33.7,64,9,0,300029,557634,0,0
Not_Paid,448404,Short_Term,746,1166220,10+_years,Home_Mortgage,Debt_Consolidation,19339.72,14.9,20,17,0,306907,504064,0,0
Fully_Paid,196108,Short_Term,715,865602,10+_years,Home_Mortgage,Debt_Consolidation,11397.34,18.8,29,11,1,185478,259402,1,0
Fully_Paid,448272,Long_Term,716,1045285,10+_years,Home_Mortgage,Debt_Consolidation,16289.08,23,24,7,0,115558,157432,0,0
Fully_Paid,99999999,Short_Term,721,805733,10+_years,Home_Mortgage,Debt_Consolidation,12757.55,15.9,45,9,0,93347,195448,0,0
Fully_Paid,99999999,Short_Term,746,456646,10+_years,Home_Mortgage,Other,2481.02,18.8,56,5,0,0,0,0,0
Not_Paid,224796,Short_Term,681,573819,1_year,Own_Home,Business_Loan,4925.37,11.4,20,6,0,115862,296780,0,0
Fully_Paid,401852,Long_Term,725,1263785,10+_years,Home_Mortgage,Debt_Consolidation,15059.97,15.3,39,6,1,58482,101376,1,0
Fully_Paid,273482,Long_Term,693,1115699,10+_years,Home_Mortgage,Debt_Consolidation,13667.27,15.9,51,6,0,65683,109758,0,0
Fully_Paid,323708,Short_Term,723,1640061,3_years,Rent,Debt_Consolidation,21047.44,21.2,31,14,0,546782,924242,0,0
Not_Paid,88528,Short_Term,696,993833,2_years,Rent,Debt_Consolidation,2550.94,20.8,35,11,0,38532,241142,0,0
Fully_Paid,132022,Short_Term,727,855095,7_years,Rent,Debt_Consolidation,14180.08,17.6,55,10,0,130131,251108,0,0
Fully_Paid,277948,Short_Term,707,1118948,10+_years,Rent,Debt_Consolidation,29465.58,15.7,63,11,1,66994,129294,1,0
Fully_Paid,219186,Short_Term,748,2233697,3_years,Home_Mortgage,Debt_Consolidation,14779.72,20.6,37,11,0,281618,939708,0,0
Fully_Paid,178684,Short_Term,739,1176727,2_years,Rent,Debt_Consolidation,19514.14,20.7,45,11,0,192337,281534,0,0
Fully_Paid,108526,Short_Term,743,1312045,7_years,Home_Mortgage,Other,7380.17,19,56,10,1,71953,108504,0,0
Fully_Paid,588544,Long_Term,687,1491158,5_years,Home_Mortgage,Debt_Consolidation,15284.36,16.3,71,17,0,428963,1118722,0,0
Fully_Paid,99999999,Short_Term,725,2229137,<_1_year,Rent,Debt_Consolidation,14656.6,19.9,8,6,0,125742,224334,0,0
Fully_Paid,391468,Short_Term,742,629850,<_1_year,Rent,Debt_Consolidation,10025.16,17.8,14,8,0,57570,169620,0,0
Fully_Paid,99999999,Short_Term,737,1054937,10+_years,Own_Home,Debt_Consolidation,15472.27,22.8,53,11,0,480434,881606,0,0
Fully_Paid,628474,Long_Term,676,1235741,10+_years,Home_Mortgage,Debt_Consolidation,26568.46,26.5,7,12,0,252871,603702,0,0
Not_Paid,765006,Long_Term,736,6606775,7_years,Own_Home,Debt_Consolidation,5780.94,24.1,43,11,0,369170,1978966,0,0
Not_Paid,141636,Short_Term,7160,1051175,1_year,Home_Mortgage,Debt_Consolidation,13227.04,12.5,18,12,0,151791,201322,0,0
Fully_Paid,334686,Short_Term,742,963490,10+_years,Home_Mortgage,Debt_Consolidation,12284.45,20.5,58,15,0,406220,863060,0,0
Fully_Paid,712404,Long_Term,618,6283072,2_years,Rent,Other,20262.93,14.7,45,10,1,135641,358556,1,0
Fully_Paid,764390,Long_Term,705,1603220,2_years,Home_Mortgage,Debt_Consolidation,34869.75,30.6,50,15,0,425448,1089902,0,0
Fully_Paid,616902,Long_Term,647,1405772,<_1_year,Own_Home,Debt_Consolidation,18626.27,17.9,64,4,0,317338,433818,0,0
Fully_Paid,99999999,Short_Term,716,2848575,<_1_year,Home_Mortgage,Home_Improvements,23263.41,31.5,10,14,0,371051,1053052,0,0
Fully_Paid,170962,Short_Term,710,598082,6_years,Rent,Debt_Consolidation,7426.15,12.8,5,14,0,117211,622534,0,0
Fully_Paid,99999999,Short_Term,704,1160862,6_years,Home_Mortgage,Debt_Consolidation,25442.14,14.8,13,9,0,607202,730092,0,0
Fully_Paid,332222,Short_Term,746,891119,3_years,Rent,Debt_Consolidation,11733.07,23.8,42,9,0,293683,717420,0,0
Fully_Paid,99999999,Short_Term,743,1496193,2_years,Home_Mortgage,Debt_Consolidation,17081.57,20.7,33,11,0,176567,276298,0,0
Fully_Paid,440132,Long_Term,676,1292380,6_years,Home_Mortgage,Debt_Consolidation,4157.2,15.6,69,3,0,150822,219956,0,0
Fully_Paid,112574,Short_Term,729,1555416,10+_years,HaveMortgage,Other,10706.5,13.7,40,13,0,86507,770440,0,0
Fully_Paid,764544,Long_Term,703,1697859,6_years,Home_Mortgage,Home_Improvements,17685.96,25.5,31,10,1,300789,657118,1,0
Fully_Paid,446336,Long_Term,683,1117865,7_years,Home_Mortgage,Debt_Consolidation,7573.59,15.9,36,4,1,148960,238898,1,0
Fully_Paid,146982,Short_Term,670,981578,10+_years,Rent,Debt_Consolidation,25030.22,22.5,76,19,0,532589,828872,0,0
Fully_Paid,533698,Long_Term,699,1853298,1_year,Rent,Debt_Consolidation,30270.61,21.6,72,18,0,342209,589644,0,0
Not_Paid,133936,Short_Term,639,347035,1_year,Home_Mortgage,Home_Improvements,6969.39,15.4,22,10,0,68742,151910,0,0
Not_Paid,47806,Short_Term,671,835620,2_years,Rent,Other,3070.97,12.8,12,10,0,48051,60764,0,0
Not_Paid,147576,Short_Term,748,463429,2_years,Rent,Debt_Consolidation,8573.56,12.9,36,20,0,88939,357588,0,0
Fully_Paid,545160,Long_Term,699,3954888,10+_years,Home_Mortgage,Debt_Consolidation,27881.93,18.1,39,15,0,163020,215974,0,0
Fully_Paid,657294,Short_Term,691,2270652,4_years,Rent,Debt_Consolidation,24031.01,11.3,40,12,0,405327,811998,0,0
Fully_Paid,99999999,Short_Term,743,2688462,1_year,Rent,Debt_Consolidation,32037.42,20.5,34,14,0,198094,749606,0,0
Fully_Paid,99999999,Short_Term,738,992256,7_years,Rent,Debt_Consolidation,15793.37,18.2,14,11,0,348878,738496,0,0
Fully_Paid,268004,Short_Term,750,867996,10+_years,Rent,Debt_Consolidation,21410.53,23,75,15,0,309776,1203664,0,0
Fully_Paid,776864,Short_Term,687,1629383,10+_years,Home_Mortgage,Debt_Consolidation,34895.78,19.6,63,24,1,481783,950334,1,0
Fully_Paid,662310,Short_Term,699,1258389,10+_years,Home_Mortgage,Debt_Consolidation,13213.17,17.5,64,8,1,302309,562782,1,0
Fully_Paid,353232,Short_Term,712,823707,10+_years,Home_Mortgage,Debt_Consolidation,13659.67,9.8,41,9,0,117496,242968,0,0
Fully_Paid,221056,Short_Term,741,954560,10+_years,Rent,Debt_Consolidation,9386.57,12,13,19,0,117420,229658,0,0
Fully_Paid,99999999,Short_Term,739,3095632,3_years,Home_Mortgage,Debt_Consolidation,41017.2,21,19,15,0,288002,508354,0,0
Fully_Paid,99999999,Short_Term,726,2311236,9_years,Home_Mortgage,Home_Improvements,35438.99,23.9,18,18,0,3528718,10189234,0,0
Fully_Paid,281710,Short_Term,728,831953,2_years,Home_Mortgage,Debt_Consolidation,12964.46,18,52,12,0,461415,907104,0,0
Fully_Paid,161656,Short_Term,749,874874,9_years,Home_Mortgage,Debt_Consolidation,12226.5,16.1,19,10,0,159676,394218,0,0
Fully_Paid,294580,Short_Term,744,1734624,10+_years,Rent,Debt_Consolidation,8051.63,17.8,6,12,0,229007,433290,0,0
Fully_Paid,39138,Short_Term,731,751336,4_years,Home_Mortgage,Home_Improvements,10894.41,10.6,27,11,0,77539,302302,0,0
Fully_Paid,260436,Long_Term,734,1244272,10+_years,Home_Mortgage,Debt_Consolidation,11924.21,28.4,26,12,0,189696,625812,0,0
Fully_Paid,264396,Short_Term,737,1712565,10+_years,Rent,Debt_Consolidation,19980.02,21.9,49,13,0,380665,1075052,0,0
Not_Paid,444752,Long_Term,7060,1920520,5_years,Rent,Debt_Consolidation,43371.68,16.1,72,22,0,353362,611578,0,0
Not_Paid,224312,Short_Term,700,678034,3_years,Rent,Debt_Consolidation,13052.24,12.8,64,13,0,240863,639650,0,0
Fully_Paid,222728,Long_Term,615,905160,1_year,Rent,Other,18706.64,16.2,49,9,0,64676,135432,0,0
Fully_Paid,450648,Short_Term,737,1634627,10+_years,Rent,Debt_Consolidation,10570.65,32.5,20,6,1,93252,151008,1,0
Fully_Paid,152372,Short_Term,697,845937,<_1_year,Rent,Debt_Consolidation,2876.22,8.8,46,10,0,56943,215468,0,0
Fully_Paid,152372,Short_Term,697,845937,<_1_year,Rent,Debt_Consolidation,2876.22,8.8,46,10,0,56943,215468,0,0
Not_Paid,234036,Short_Term,703,665798,10+_years,Home_Mortgage,Debt_Consolidation,11263.01,17,39,13,0,242098,308396,0,0
Fully_Paid,649902,Long_Term,695,1309651,10+_years,Own_Home,Debt_Consolidation,6810.17,26,74,7,0,300884,361768,0,0
Fully_Paid,214632,Short_Term,722,1448237,9_years,Home_Mortgage,Debt_Consolidation,33188.63,15,10,25,0,485982,970200,0,0
Fully_Paid,99999999,Long_Term,710,1733788,1_year,Home_Mortgage,Debt_Consolidation,39443.43,35.6,69,23,0,761254,1620344,0,0
Fully_Paid,99999999,Long_Term,693,1885959,10+_years,Home_Mortgage,Debt_Consolidation,8046.88,21.8,35,10,0,315932,923758,0,0
Fully_Paid,396286,Short_Term,741,2528767,10+_years,Home_Mortgage,Debt_Consolidation,17111.4,28.9,4,11,0,174781,535414,0,0
Fully_Paid,531168,Long_Term,724,1834944,10+_years,Home_Mortgage,Debt_Consolidation,23242.7,38,75,16,0,534033,942612,0,0
Fully_Paid,134596,Short_Term,723,1356201,1_year,Home_Mortgage,Debt_Consolidation,18308.78,21.5,10,19,0,286596,707586,0,0
Not_Paid,215446,Short_Term,7200,1308283,1_year,Rent,Debt_Consolidation,11992.61,22,27,13,0,139479,192940,0,0
Not_Paid,781022,Long_Term,653,2004253,10+_years,Home_Mortgage,Debt_Consolidation,35993.22,26.4,48,17,0,622554,1115862,0,0
Fully_Paid,99999999,Long_Term,707,1208324,3_years,Home_Mortgage,Debt_Consolidation,18527.66,12.8,45,17,0,631788,1213190,0,0
Fully_Paid,99999999,Short_Term,738,2081792,10+_years,Home_Mortgage,Debt_Consolidation,21511.99,25.6,27,10,0,163153,227612,0,0
Fully_Paid,99999999,Short_Term,745,665608,1_year,Rent,Debt_Consolidation,14754.07,15.5,55,5,0,231553,376552,0,0
Fully_Paid,556996,Short_Term,733,4521715,1_year,Rent,Buy_House,44086.65,27,40,18,0,106001,1157904,0,0
Fully_Paid,158026,Short_Term,716,1091854,10+_years,Home_Mortgage,Home_Improvements,11009.55,14.3,7,7,0,87438,188540,0,0
Fully_Paid,130746,Short_Term,734,1018590,10+_years,Rent,Debt_Consolidation,16891.57,22.8,29,7,1,41230,191686,1,0
Fully_Paid,267784,Long_Term,689,1638104,1_year,Own_Home,Debt_Consolidation,48050.62,12.2,20,10,0,60325,403722,0,0
Not_Paid,44022,Short_Term,666,910727,<_1_year,Home_Mortgage,Other,19808.26,22.5,24,8,0,419748,514866,0,0
Fully_Paid,151602,Short_Term,739,1084805,3_years,Rent,Debt_Consolidation,7204.99,10.7,61,6,0,69331,395472,0,0
Fully_Paid,99999999,Short_Term,737,1324452,1_year,Rent,Debt_Consolidation,23619.47,12.8,25,30,0,108908,298100,0,0
Fully_Paid,324346,Short_Term,742,954370,4_years,Rent,Debt_Consolidation,17019.63,10,34,17,0,121448,404096,0,0
Fully_Paid,259138,Short_Term,751,2517804,10+_years,Home_Mortgage,Debt_Consolidation,14687.19,18.8,37,11,0,138491,1252878,0,0
Not_Paid,32450,Short_Term,711,653904,3_years,Rent,Home_Improvements,11770.12,8.2,34,11,0,129656,231308,0,0
Fully_Paid,99999999,Short_Term,727,2299836,10+_years,Home_Mortgage,Debt_Consolidation,34305.83,12.5,60,11,1,30932,99770,0,1
Not_Paid,388168,Short_Term,744,2234856,10+_years,Home_Mortgage,Debt_Consolidation,40041.17,21,18,9,0,681587,896852,0,0
Fully_Paid,99999999,Short_Term,743,2278632,4_years,Rent,Debt_Consolidation,32850.24,14.5,38,12,0,444315,1309066,0,0
Fully_Paid,648516,Short_Term,730,1400205,6_years,Home_Mortgage,Debt_Consolidation,21353.15,19,69,8,0,265905,332156,0,0
Fully_Paid,448932,Short_Term,738,1473317,8_years,Own_Home,Debt_Consolidation,17557.14,14.7,25,10,0,160569,321112,0,0
Not_Paid,221320,Short_Term,740,860130,10+_years,Home_Mortgage,Debt_Consolidation,5390.11,14,21,11,1,117952,378334,1,0
Not_Paid,445632,Long_Term,680,877059,10+_years,Rent,Home_Improvements,12205.6,33.5,12,9,0,344584,701206,0,0
Not_Paid,219054,Short_Term,723,1067154,9_years,Home_Mortgage,Debt_Consolidation,24455.66,15.4,29,8,0,100814,130284,0,0
Fully_Paid,132616,Short_Term,743,1527144,10+_years,Home_Mortgage,Debt_Consolidation,40342.32,22.4,25,16,0,159030,814770,0,0
